Unnamed: 0,번호,질문,의도 카테고리,분류 클래스
307,308,그럼 치아파절두 골절진단비에 들어가는거죠?,기타,999
311,312,발가락에 장애가 생기면 이것두 보험적용이 되나요?,기타,999
313,314,수고하십니다.제가 2주전에 교통사고가 난후 치료에 대해 몇가지 여쭤볼게 있어요?,기타,999
314,315,일주일후 새로운 통증에 대해서두 보험처리가 가능한가요?,기타,999
319,320,과실비율이 100대 0이란거 확인을 받아놔야 할까요?,기타,999
323,324,그럼 처음부터 이런 설명을 해줘야 하는거 아닌가요?,기타,999
324,325,그럼 철심 제거 수술비는 제가 100프로 부담해야 하는거네요?,기타,999
325,326,질문좀 드리겠습니다 상해보험이 정확이 뭐죠?,기타,999
334,335,"수고하십니다 제가 광대골절, 얼굴이 찢어졌는데 보험처리 가능하죠?",기타,999
343,344,어느정도 화상이이여야 진단비가 나오나요?,기타,999
353,354,저희 아이가 설소대 시술을 해야한다고 하는데요 보험적용이 되나요?,기타,999
355,356,그럼 설소대 시술하면 얼마나 받을수있죠?,기타,999
391,392,2009년 표준화 이전의 실비라면 어떤가요?,기타,999
394,395,"암,뇌,심장에 관한 진단비가 발생한다면 어떤진단서인가요?",기타,999
395,396,혈관질환의 경우는요?,기타,999
401,402,병원에서 간수치가 높다고 하셔서 정밀검사를 시행해서 검사비가 30만원이 나왔는데요.통원비 한도가 얼마인가요?,기타,999
405,406,이런안내가 중요한 이유가 있나요?,기타,999
406,407,보험회사별로 다른 특색이 있나요?,기타,999
410,411,"여러가지 건수가 있는데, 한꺼번에 등록하나요?",기타,999
411,412,"네, 아이꺼 발목치료로 4회, 제꺼 허리디스크 치료 5회랑 화상입은거 치료 5회 처리할려면 3건이 되겠네요?",기타,999
416,417,접수는 직접 가야만 되나요?,기타,999
428,429,상급병실료 차액은 어떻게 되나요?,기타,999
458,459,한방치료는 한의사가 치료를 한 경우를 말하는 거죠? 그럼 일반 양의사가 치료를 한 경우는 어떻게 되나요?,기타,999
460,461,건강검진을 했는데 건강에 문제가 있어서 추가 검사를 진행한 경우는 진료비 받을수 있나요?,기타,999
462,463,2018년 4월부터 시행되었던 유병력자 실손의료비에 대해 알고 싶습니다.,기타,999
463,464,유병력자 실손의료보험의 특징은 무엇인가요?,기타,999
472,473,유병력자 실손의료보험을 판매하는 손해보험사는 어디인가요?,기타,999
473,474,유병력자 실손의료보험은 생명보험사에서도 판매하나요?,기타,999
482,483,암 관련에서 백혈병도 포함되나요?,기타,999
495,496,유병력자 실손보험을 정리하면 어떻게 하면 될까요?,기타,999
496,497,실손의료비 담보중에서 일반상해의료비라는 담보를 알려주세요.,기타,999
500,501,국민건강보험을 적용받지 아니한 사고는 무엇을 말할까요?,기타,999
501,502,일반상해의료비의 큰 특징은 무엇인가요?,기타,999
502,503,그럼 일반상해의료비의 장점과 단점을 알려주세요.,기타,999
503,504,일반상해의료비의 장점과 단점이 이렇게 많나요?,기타,999
511,512,아니 실비의 경우 통원의료비가 최대 25만원 아닌가요?,기타,999
518,519,일반상해의료비의 큰 단점은 무엇인가요?,기타,999
519,520,상해입원실손의료비의 보험료가 비싼 이유는 뭔가요?,기타,999
520,521,그럼 상해입원실손의료비를 정리한다면 어찌 정리할까요?,기타,999
534,535,"만일 상해입원의료비, 질병입원의료비가 365일 이내로 전부 소진시에는 어떻게 되나요?",기타,999
552,553,한방치료에 대한 부분은 거의 다 비급여에 해당하지 않습니까?,기타,999
556,557,아니 의사가 한방치료를 하는 경우가 있나요?,기타,999
557,558,보험사의 건강보험 미적용 사례가 있나요?,기타,999
560,561,그렇다면 건강보험법에서 정한 급여를 적용받지 못하는 경우는 어떤 경우입니까?,기타,999
561,562,건강보험법에서 정한 급여를 적용받지 못하는 경우를 국민건강보험법에 제54조에는 어떻게 적여있나요?,기타,999
562,563,"요점은 보험료를 체납한 경우, 국외에 여행, 업무중인 경우, 자동차보험 혹은 산재보험의 적용을 받는 경우는 건강보험법에서 정한 급여를 적용 받지 못한다는 거 아닙니까?",기타,999
567,568,진료비의 40%는 무슨 말인가요?,기타,999
569,570,그럼 1단계 요양급여란 무엇인가요?,기타,999
570,571,2단계 요양급여란 무엇입니까?,기타,999
572,573,2단계 요양급여를 받을 수 있는 자는 누구를 말하나요?,기타,999
573,574,실비에서 40%를 적용받는 경우를 정리해주세요.,기타,999
576,577,암진단비 담보라는 것이 중요한 담보인가요?,기타,999
577,578,암진단비라는 담보가 중요한 이유는 뭔가요?,기타,999
580,581,암진단비가 다른 이유가 있나요?,기타,999
584,585,그럼 대부분 유사암의 종류는 보험사마다 동일한 적용인가요?,기타,999
589,590,그럼 손보사의 기준 적용과 생보사의 기준 적용은 같나요?,기타,999
596,597,5대고액암 10대고액암 등등 소비자 입장에서는 도통 뭔지 이해가 안갑니다. 고액암이 뭔가요?,기타,999
598,599,그럼 홈쇼핑에서 판매하는 5대 고액암은 5대 고액암을 위한 보험을 생각하면 될까요?,기타,999
601,602,그럼 고액암 종류를 알려주시겠습니까?,기타,999
605,606,3대 고액치료비관련암 분류에는 어떤 암이 있나요?,기타,999
606,607,암의 설명이 길어서 정리가 안됩니다. 정리를 해주시겠습니까?,기타,999
607,608,5대고액암의 종류를 알려주시겠습니까?,기타,999
608,609,이 부분도 암의 설명이 길어서 정리가 안됩니다. 정리를 해주시겠습니까?,기타,999
609,610,5대고액암은 어느 보험사에서 판매를 하나요?,기타,999
610,611,"3대, 5대말고 고액암이 더 있나요?",기타,999
611,612,그럼 10대고액치료암도 알려주시겠습니까?,기타,999
612,613,설명중에 신생물이 뭔가요?,기타,999
613,614,10대 암도 설명이 길어서 정리가 안됩니다. 정리를 해주시겠습니까?,기타,999
615,616,암 발병율에서 남자의 암 발병율이 가장 높은 암은 무엇인가요?,기타,999
616,617,그럼 암 발병율에서 여자의 암 발병율이 가장 높은 암은 무엇인가요?,기타,999
619,620,00츠화재에서만 판매를 하고 있다는 16대특정암 보험의 보험료는 어떤가요?,기타,999
620,621,00츠화재에서만 판매를 하고 있다는 16대특정암 보험의 암진단비는 다른 보험에 비해 어떤가요?,기타,999
627,628,협약 조건만 가능하단 거네요?,기타,999
629,630,펀드에서만 인출되는 경우는 어떻게 됩니까?,기타,999
630,631,실적 펀드에서 인출이 되는 경우는 어떻게 되나요?,기타,999
632,633,추가제공 되는 경우는 어떻게 됩니까? ,기타,999
634,635,근로기준법에는 뭐라고 적혀있나요?,기타,999
637,638,수익자가 퇴직자를 칭하는 거 맞나요?,기타,999
672,673,이것도 실비 처리 되나요?,기타,999
677,678,하나더 여쭤볼게요. 입원하면 얼마씩 나오나요?,기타,999
681,682,그럼다시 접수해야되나요?,기타,999
689,690,치아치료확인서가 뭔가요?,기타,999
691,692,치아치료확인서는 치과에서 써주나요?,기타,999
695,696,책자로 보내주실수없나요?,기타,999
699,700,수익자는 누구인가요?,기타,999
701,702,제계좌로 받을수는 없나요?,기타,999
713,714,심재성 2도화상으로 진단이 있어야 되나요?,기타,999
725,726,깁스했는데 깁스비도 주나요?,기타,999
731,732,치아치료확인서가 뭔가요?,기타,999
733,734,치아치료확인서는 치과에서 써주나요?,기타,999
739,740,독감치료한거 실비되나요?,기타,999
753,754,다른보험에서도 골절진다비가 없나요?,기타,999
771,772,5대골절이 뭔가요?,기타,999
791,792,제가 사망자 기준으로 가족관계증명서를 발행할 수 있나요?,기타,999
798,799,사망진단서 대신 시체검안서 받았는데 추가로 받아야 될까요?,기타,999
799,800,경찰서에서 보험사에 제출하라고 준 사고사실확인서가 있는데 이것도 제출하는 게 맞나요?,기타,999
801,802,"아, 증권은 안 가져가나요?",기타,999
806,807,"사고 나서 다친 게 아니라 그냥 아파서 병원 갔었으면, 병원 첫 방문일이 3년 이내여야 하나요?",기타,999
810,811,좀더 자세히 설명해주시겠어요?,기타,999
815,816,기명 피보험자란 어떤건지요?,기타,999
816,817,지정대리인이 여러 명인 경우는 어떻게 해야 하는 건가요?,기타,999
834,835,동의했으니 확인부탁려도될까요?,기타,999
839,840,독감치료 병원비는 보험에서 되나요?,기타,999
844,845,감기치료한 병원비는 보험에서 되나요?,기타,999
907,908,앞으로 물리치료를 계속 받아야하는데 그것은 어떻게 되나요?,기타,999
908,909,물리치료비를 다 받을수 있단 말씀이신가요?,기타,999
909,910,그럼 한달에 20번 물리치료를 받는다면 20만원을 받을수 있단 얘긴가요?,기타,999
921,922,성년후견인 제도는 뭔가요?,기타,999
922,923,저희 어머니 법정대리인이 신청하는거군요. 다른 방법도 있나요?,기타,999
925,926,아까 간병비 말씀하셨잖아요. 간병비가 보험에서 나오는 거죠?,기타,999
937,938,통원비를 받으려면 진단서가 필요해요?,기타,999
938,939,병원비가 3만원 넘었을때는 뭐가 있어야하는데요?,기타,999
953,954,제가 자전거전용도로로 걸어가다가 자전거랑 부딪혔거든요 보험처리가 되겠죠?,기타,999
968,969,응급실 비용 받으려면 어떻게 해요?,기타,999
969,970,입원도 5일동안 했어요. 입원비도 받을 수있죠?,기타,999
978,979,혹시 보험처리가 안되는 경우도 있을까요?,기타,999
980,981,안그래도 담당설계사가 그만둬서 불편한게 한두개가 아니예요.. 다 책임진다면서 보험들라더니.. 담당설계사 없으면 어떻게 해요?,기타,999
1019,1020,사고조사가 뭐죠?,기타,999
1022,1023,갑상선암이 유사암인가요?,기타,999
1026,1027,다른암이 또 걸리면 안주나요?,기타,999
1027,1028,유사암은 뭐뭐인가요?,기타,999
1029,1030,일반암도 각각주나요?,기타,999
1031,1032,림프종이 고액암인가요?,기타,999
1033,1034,치료중에 사망하면 얼마나오나요?,기타,999
1054,1055,입원비나 항암치료비도 안줘요?,기타,999
1060,1061,혹시 다른 암진단받으면 받을게 있나요?,기타,999
1061,1062,보험료는 이제 안내나요?,기타,999
1063,1064,이번달 보험료 냈는데요?,기타,999
1069,1070,사고조사가 뭐죠?,기타,999
1073,1074,언제까지 부담보인가요?,기타,999
1074,1075,갑상선암 진단비는 못받나요?,기타,999
1089,1090,2년이 안되면 어떻게 되나요?,기타,999
1107,1108,목욕탕에서 넘어졌으니 상해뇌출혈인거죠?,기타,999
1116,1117,혈전용해 치료도 받았는데 주나요?,기타,999
1119,1120,앞으로도 수술을 몇번더 할수있다는데 계속 나오나요?,기타,999
1125,1126,급성심근경색진단비로 안주나요?,기타,999
1127,1128,앞으로도 수술을 몇번더 할수있다는데 계속 안주나요?,기타,999
1134,1135,스텐트삽입술이 수술비가 나오는건가요?,기타,999
1135,1136,앞으로도 수술을 몇번더 할수있다는데 계속나오나요?,기타,999
1175,1176,신종플루 치료한거 실비되나요?,기타,999
1182,1183,A형독감치료한거 실비되나요?,기타,999
1191,1192,진단비는 못받는다는건가요?,기타,999
1194,1195,사고조사가 뭐죠?,기타,999
1214,1215,편도암이 일반암인가요?,기타,999
1215,1216,일반암진단비는 얼마인가요?,기타,999
1217,1218,암진단시 얼마주나요?,기타,999
1234,1235,제자리암이 유사암인가요?,기타,999
1239,1240,사고조사가 뭐죠?,기타,999
1248,1249,3개월만 지나면 100%주나요?,기타,999
1250,1251,치과에서 치료받은건 전부 실비가안된다는 건가요?,기타,999
1252,1253,급여부분이 뭐예요?,기타,999
1253,1254,건강보험된것만  된다는거죠?,기타,999
1254,1255,충치나 발치는 주나요?,기타,999
1261,1262,치아치료확인서가 뭔가요?,기타,999
1263,1264,치아치료확인서는 치과에서 써주나요?,기타,999
1266,1267,임플란트는 얼마나오나요?,기타,999
1268,1269,2년지나면 다주나요?,기타,999
1273,1274,접수하려면어떻게하나요?,기타,999
1278,1279,치아치료확인서가 뭔가요?,기타,999
1280,1281,치아치료확인서는 치과에서 써주나요?,기타,999
1284,1285,갯수제한이 있나요?,기타,999
1285,1286,2년지나면 다주나요?,기타,999
1298,1299,뇌출혈과 뇌경색이 다른가요?,기타,999
1307,1308,뇌혈관수술비는 얼마인가요?,기타,999
1308,1309,진단비는 한번만주나요?,기타,999
1309,1310,수술비는 회당주나요?,기타,999
1310,1311,1년이후에 수술하게되면 100%주나요?,기타,999
1312,1313,11대특정암이 뭔가요?,기타,999
1316,1317,검사비용이 25만원이 넘으면 안주나요?,기타,999
1317,1318,약값도 5만원한도에요?,기타,999
1318,1319,3개월치를 한꺼번에 타서 5만원이 넘는데 어떻하죠?,기타,999
1328,1329,암진단비있죠?,기타,999
1329,1330,일반암 진단비로 주나요?,기타,999
1369,1370,실비보험도 암치료비가 나오나요?,기타,999
1383,1384,치아치료확인서가 뭔가요?,기타,999
1419,1420,사고조사가 뭐죠?,기타,999
1491,1492,B형독감 치료한거 실비되나요?,기타,999
1503,1504,사고조사가 뭐죠?,기타,999
1511,1512,넘어져서 다쳤는데 이 보험처리가 가능한가요?,기타,999
1555,1556,성년후견인제도가 무엇인가요?,기타,999
1624,1625,특약에 심장질환이 있지 않나요?,특별 약관,5
1682,1683,실비는 하루 일당이 얼마로 되어 있나요?,기타,999
1851,1851,어머니께서 독감으로 입원치료 받으셨는데 보험 되나요?,기타,999
1853,1853,아이가 자전거 사고를 당했는데 보험얼마나 되는지 해서요.,기타,999
1860,1860,안전확보조치가 뭔가요?,기타,999
1882,1882,골절 진단비는 얼마에요?,기타,999
1892,1892,아래집이랑 누수문제가 생겼는데 배상 확인부탁드립니다.,기타,999
1894,1894,배상은 최대 얼마 되나요?,기타,999
1915,1915,좀전에 차사고가 났어요 사고접수 좀 하고 싶은데요.,기타,999
2023,2023,급여랑 비급여 둘다 된다고 알고있는데 아닌가요?,기타,999
2024,2024,특약에 있으면 비급여도 된다는말인가요?,특별 약관,5
2025,2025,어떤 특약이있어야하나요?,특별 약관,5
2051,2051,미납이 되었나요?,기타,999
2055,2055,특약에 보면 5종수술이라고 되어있던데 이게 뭐죠?,특별 약관,5
2073,2073,수고하십니다. 아랫집에 물이세어서요. 누수배상 확인 좀 하려구요.,기타,999
2074,2074,네 배상은 얼마까지 될까요?,기타,999
2086,2086,혹시 부상치료비 특약으로 추가 가능할까요?,특별 약관,5
2088,2088,아 이번에 장염으로 병원을 좀 다녀왔는데 보험처리 가능할까요?,기타,999
2138,2138,수술특약이 있는 걸로 아는데 확인해 줄수 있나요?,특별 약관,5
2508,2508,배상은 최대 얼마 되나요?,기타,999
2688,2688,"아,몰랐는데 어떤 특약이에요?",특별 약관,5
2691,2691,중대한질병이 뭔가요?,기타,999
2735,2735,혹시 상속비율을 다르게도 설정할 수 있나요?,기타,999
2741,2741,보험료가 미납되면 어떻게 되는건가요?,기타,999
2743,2743,그러면 자동이체가 됫는지 안됫는지 자동이체 여부를 정확하게 확인 할 수 있는 방법 있을까요? ,기타,999
2793,2793,피보험자가 뭔가요?,기타,999
2944,2944,"진단비, 수술비 등도 피보험자가 받는건가요?",기타,999
2946,2946,사망 시 보험 수익자를 지정 하는 방법이 있나요?,기타,999
2954,2954,종신보험은 어떤걸 말하나요?,기타,999
2960,2960,종신보험이라는게 뭐죠?,기타,999
2961,2961,"ㅇㅇ손보사 상해사망보험이 있던데, 그것도 될까요?",기타,999
2975,2975,법정상속인이 무슨 뜻인가요?,보험 문의,15
2978,2978,상속인이 만약 미성년자라면 어떻게 되나요?,기타,999
2979,2979,상속인을 자녀로 하려면 어떻게 해야 하나요?,기타,999
2986,2986,법률상 손해배상 책임액이 뭐지요?,기타,999
2989,2989,긴급조치비용은 요?,기타,999
2991,2991,공제액은 뭔가요?,기타,999
3023,3022, 치과 치료전에 치과 보험 들고 싶은데요?,보험 가입,0
3112,3111,피보험자는 뭔가요?,기타,999
3114,3113,그럼 수익자는 뭔가요?,기타,999
3144,3143,치아치료확인서가 뭔가요?,기타,999
3207,3206,독감치료한거 실비되나요?,기타,999
3239,3238,5대골절이 뭔가요?,기타,999
3478,3477,아래집이랑 누수문제가 생겼는데 배상 확인부탁드립니다.,기타,999
3501,3500,좀전에 차사고가 났어요 사고접수 좀 하고 싶은데요.,기타,999
3648,3647,"아,몰랐는데 어떤 특약이에요?",특별 약관,5
3714,3713,성년후견인 제도는 뭔가요?,기타,999
3719,3718,보험담보에서 수술과 관련된 부분을 확인하고 싶은데요?,기타,999
3722,3721,재해로 수술하게 되어도 보험되는거죠?,기타,999
3724,3723,티눈을 제거하면 보험이 되나요?,기타,999
3725,3724,치질은 된다고 들었는데 치루 같은 치질 보다 약한거는 보험 될까요?,기타,999
3798,3797,급여랑 비급여 둘다 된다고 알고있는데 아닌가요?,기타,999
3799,3798,특약에 있으면 비급여도 된다는말인가요?,특별 약관,5
3800,3799,어떤 특약이있어야하나요?,특별 약관,5
3826,3825,미납이 되었나요?,기타,999
3876,3875,특약에 보면 5종수술이라고 되어있던데 이게 뭐죠?,보험 문의,15
3894,3893,수고하십니다. 아랫집에 물이세어서요. 누수배상 확인 좀 하려구요.,기타,999
3907,3906,혹시 부상치료비 특약으로 추가 가능할까요?,특별 약관,5
3920,3919,여기서 바로는 확인 못합니까?,기타,999
4362,4361,실비보험도 암치료비가 나오나요?,기타,999
4495,4494,B형독감 치료한거 실비되나요?,기타,999
4575,4574,넘어져서 다쳤는데 이 보험처리가 가능한가요?,기타,999
4625,4624,수술특약이 있는 걸로 아는데 확인해 줄수 있나요?,특별 약관,5
4653,4652,성년후견인제도가 무엇인가요?,기타,999
4758,4757,특약에 심장질환이 있지 않나요?,보험 가입,0
4809,4808,혹시 상속비율을 다르게도 설정할 수 있나요?,기타,999
4810,4809,한명에게 전액을 몰아 줄 수도 있는 건가요?,기타,999
4988,4986,제가 이혼을 했는데요 혹시 배우자 보험은 어떻게 되나요?,기타,999
5122,5120,사고보험을 신청 하려고요,기타,999
5452,5450,"여행중 휴대품을 도난 당했는데,어떻게 해요?",기타,999
5495,5493,"그런데요, 닝겔도 의료비 실비처리가 가능한가요.",기타,999
5501,5499,"만약, 자전거전용도로로 걸어가다가 자전거랑 부딪쳤다면 보험처리가 될까요.",기타,999
5615,5613,긴급히 조치한 비용도 포함되나요?,기타,999
5617,5615,공제액은 뭔가요?,기타,999
5619,5617,안전밸트를 미착용한 경우 공제되나요?,기타,999
5631,5629,종신보험이 뭔가요?,기타,999
5632,5630,00손해보험사에 상해사망보험이 있는데 안되나요?,기타,999
5634,5632,생명사 보험이 더 좋은 보험인가요?,기타,999
5657,5655,보험료가 미납되면 어떻게 되는건가요?,기타,999
5676,5674,종신보험이라는게 뭐죠?,기타,999
5677,5675,"ㅇㅇ손보사 상해사망보험이 있던데, 그것도 될까요?",기타,999
5761,5758,법정상속인이 무슨 뜻인가요?,보험 문의,15
6020,6017,제가 대상포진이 걸렸는데 제보험에서 받을수있는게 있나요?,기타,999
6035,6032,각각 보험료를 알려주실수있으신가요?,기타,999
6088,6084,"OO보험, OO보험 뭐가 다른가요?",기타,999
6103,6099,실손보험이 의료보험과 다른가요?,기타,999
6105,6101,실손보험 꼭 필요한건가요?,기타,999
6114,6110,실손보험은 어떤 보험인가요?,기타,999
6115,6111,실손보험이 의료보험과 다른가요?,기타,999
6117,6113,실손보험 꼭 필요한건가요?,기타,999
6121,6117,종신보험과 정기보험의 보험료를 비교해주세요.,기타,999
6199,6195,"수술특약을 확인했는데요, 수술을 5종으로 나누어놨는데 이건 뭐에요?",보험 문의,15
6296,6292,제가 교통법규를 위반했을때  보험할증율이 어떻게되나요?,기타,999
6302,6298,기명피보험자가 뭐에요?,기타,999
6309,6305,누가 용종제거하면 보험에서 돈 나온다고 해서요 맞나요?,기타,999
6311,6307,제가 실손보험이랑 생명보험이 있는데 둘다 가능한가요?,기타,999
6316,6312,네 있죠? 아이가 친구집 가서 놀다 책상에 있는 노트북을 밟았다고 해요. 배상이 될가요?,기타,999
6320,6316,이 보험이 해외에서 적용되나요? ,기타,999
6325,6321,"네, 그밖에 해외 치과 치료도 보험적용이 되나요?",기타,999
6355,6351,흠히 은퇴설계 전문가들은 노년기 질병문제를 대비해야 한다고 하는데 의료실비보험이 가능한가요?,기타,999
6359,6355,의료실비보험은 어디서 알아보는 것이 좋을까요?,기타,999
6360,6356,그럼 의료실비보험을 몇 개 선택해서 보험견적을 받아봐야겠네요?,기타,999
6366,6362,실손보험에서 유의할 점이 무엇일까요?,기타,999
6369,6365,실손보험만 필요하다면 어떻게 해야 보험료를 줄일수 있을까요?,기타,999
6375,6371,그럼 의료실비보험은 어떤 조건인가요?,기타,999
6380,6376,일반 의료실비보험에 적용되는 부분인가요? ,기타,999
6381,6377,적립보험료가 필요한 이유가 뭔가요?,기타,999
6388,6384,의료실비보험에서 주의 또는 유의해야 할 점은 무엇인가요?,기타,999
6393,6389,인터넷 의료실비보험비교사이트의 장점이 무엇인가요?,기타,999
6396,6392,사이트를 통해 폭 넓은 선택을 할 수 있는 기회를 얻을 수 있다는 거네요?,기타,999
6401,6397,일단 의료실비보험이 준비되면 든든하겠네요?,기타,999
6402,6398,과거에는 의료실비보험이 없었나요?,기타,999
6404,6400,결론은 보험만으로 치료비용 해결이 어려웠다는 거네요?,기타,999
6412,6408,의료실비보험의 보험료는 어떤가요?,기타,999
6416,6412,의료실비보험을 정부가 관여한다는 것인가요?,기타,999
6417,6413,의료실비보험을 정부가 관여한다는 증거가 있나요?,기타,999
6418,6414,그럼 정부가 관여한다면 의료실비보험의 보험료인하를 실시해야 하는 거 아닌가요?,기타,999
6421,6417,보험설계사님이 보시기에는 의료실비보험이 어때보여요?,기타,999
6422,6418,의료실비보험 때문에 국민건강보험이 손실을 입는다는 예기가 있던데요?,기타,999
6431,6427,의료실비보험을 종합보험처럼 말이죠?,기타,999
6433,6429,의료실비보험에서 유의해야 하는 점은 무엇일까요?,기타,999
6440,6436,각각의 보험의 사업비는 당연히 중복지출이 되겟네요?,기타,999
6442,6438,의료실비보험에서 다음으로 주의해야 하는 점은 무엇일까요?,기타,999
6445,6441,의료실비보험에서 유의해야 하는 점은 무엇일까요?,기타,999
6447,6443,의료실비보험에서 또 유의해야 하는 점은 무엇일까요?,기타,999
6450,6446,그렇다면 적립보험료는 무엇을 말하나요?,기타,999
6451,6447,학교 급식 조리사님이 주방에서 사고가 났다면 산재처리 가능할까요,기타,999
6453,6449,몸이 안 좋아서 출근하는 길에 병원을 다녀오다가 다친 경우는 산재처리가 되나요.,기타,999
6454,6450,"산재보험으로 치료를 하고 완치가 되었다고 하였는데, 다시 아플경우 어떻게 되나요.",기타,999
6457,6453,퇴사직후에 수술을 받는건 산재보험에 해당이 될까요.,기타,999
6487,6483,치아보험 알아보려하는데 어디가 좋을까요?,보험 문의,15
6505,6501,보험가액의 정의는 무엇인가요,보험 문의,15
6506,6502,보험가액의 평가방법은 어떻게 하나요,기타,999
6550,6546,통원치료로 추나치료를 받으려고 하는데요? ,기타,999
6551,6547,한도의 횟수는 방문횟수인가요?,기타,999
6598,6594,그럼 청산시 직인은 누구 앞으로 해야 하죠?,기타,999
6599,6595,퇴직보험 수급권은 기업이 가질수 있나요?,기타,999
6600,6596,예전에는 위임받아서 처리하지 않았나요?,기타,999
6606,6602,법정관리시는 어떻게 되죠?,기타,999
6607,6603,퇴직보험 수급권을 회사가 가져도 되나요?,기타,999
6608,6604,예전엔 위임받아서 처리하고 그러지 않았나요?,기타,999
6610,6606,퇴직보험은 부도가 나도 유지되는 보험인거죠?,기타,999
6613,6609,법정관리 이후엔 뭘 사용해야 하죠?,기타,999
6615,6611,퇴직보험 수급권은 당연히 직원들이 가지는 거죠?,기타,999
6639,6635,자전거 사고 나면 보험을 받을 수 있다고 하는데 맞나요?,기타,999
6680,6676,특약이라 함은 어떤것을 얘기하는건가요.,특별 약관,5
6693,6689,어떤 경우에 가산세가 나오나요?,기타,999
6702,6698,보험료 미납이 되면 어떻게 되나요?,기타,999
6703,6699,개인 사정으로 몇 달 보험료를 미납하게 되면 어떻게하나요?,기타,999
6712,6708,보험료를 제 날짜에 내지 못하면 어떻게 되나요?,기타,999
6715,6711,부활이 뭔가요?,기타,999
6743,6739,화재시 어떤기준으로 배상하나요,기타,999
6747,6743,화재배상 책임보험이란 뭔가요,기타,999
6748,6744,화재 배상책임보험의 특약은 무엇인가요?,특별 약관,5
6759,6755,어떤 종류의 보험이 있나요,기타,999
6783,6779,"담석이 있어서 병원에 갔었는데, 제거를 안해도 검사비를 받을 수 있나요? ",기타,999
6798,6794,그럼 전봇대에 혼자 부딪쳐난 사고도 할증되나요?,기타,999
6805,6801,옆에 흔들리는 치아를 좀 더 놔뒀다 일이 커지면 질병으로 진단 받을 수 있는건가요?,기타,999
6850,6846,제가 자동차 운전자 보험이 두 개나 있다고 하더라고요. 확인 좀 부탁합니다.,기타,999
6903,6899,화재시 어떤기준으로 배상하나요,기타,999
6907,6903,화재배상 책임보험이란 뭔가요,기타,999
