Unnamed: 0,번호,질문,의도 카테고리,분류 클래스
76,77,교통사고시 CT 검사등 보험 청구 문의 하려구요,보험 청구,8
83,84,이렇게 억울한 경우에 보상처리 받는 방법이 없나요?,보험 보장,7
84,85,과실상계 처리가 많은 운전자는 지급보상이 적어진다는말씀인가요?,보험 보장,7
85,86,이런 경우는 가해자 보험사에서 지급보상 해주는거 아니예요?,보험 보장,7
86,87,보험금 청구 방법 좀 알려주세요. ,보험금,3
88,89,그럼 서류같은것들은 스캔 안하고 그냥 핸드폰으로 사진찍어서 올려도 되나요?,보험 서류,14
89,90,보험금청구에 어떤 서류가 필요한가요?,보험금,3
90,91,보험금 청구서류 접수하면 보험금 지급은 얼마나 걸려요?,보험금,3
91,92,3일이나 걸려요? 그럼 지급심사 진행상황을 확인할 수 있나요?,보험 수령,12
93,94,보험금 청구 관련 궁금한데요,보험금,3
96,97,입금은 얼마나 걸리나요?,보험금,3
103,104,골절진단금도 비례보상인가요?,보험금,3
104,105,골절진단금은 받고 나면 보험료가 인상되는건 없나요?,보험금,3
105,106,치료가 다 끝나고 나야 청구 가능한가요?,보험 청구,8
106,107,금만가도 골절진단 받을수 있나요?,보험금,3
107,108,부러지지 않고 금만 가도 골절진단 받나요?,보험금,3
110,111,골절진단금은 정해져있나요?,보험금,3
111,112,골절진단금과 수술금은 다른가요?,보험금,3
114,115,소화가 안되서 병원갔는데 내시경과 초음파를 받으라고 했습니다. 보험청구 가능한가요?,보험 청구,8
115,116,병원 선생님 권유로 내시경과 초음파를 받으면 보험청구 가능한가요?,보험 청구,8
116,117,그럼 청구 가능한가요?,보험 청구,8
117,118,제가 검사로 해달라고 해도 청구가 되나요?,보험 청구,8
119,120,보험청구시 휴대폰로 하면되나요?,보험 청구,8
121,122,이번꺼 청구 하면서 이전에 들고있던 청구건도 같이 접수할수 있을까요?,보험 청구,8
122,123,발바닥 무좀 치료받았습니다. 보험청구되나요?,보험 청구,8
126,127,무좀은 진단금은 없나요?,보험금,3
131,132,넘어졌을때 치아가 빠지면 골절보상되나요?,보험 보장,7
132,133,보도블럭에 걸려 넘어지면서 치아가 빠졌는데 골절보상받을수 있나요?,보험 보장,7
134,135,골절진단금은 말하는건가요?,보험금,3
135,136,골절진단금에 치아파절제외 되있어요.,보험금,3
136,137,가입한지 1년이 안되었는데 보장되나요?,보험 가입,0
137,138,1년이내 50%이면 임플란트 금액 반을 받나요?,보험금,3
139,140,자동차 사고 가 났는 데요 차를 먼저 수리하고 보험청구는 나중에 해도 되나요?,보험 청구,8
141,142,필요한  서류 준비는 어떻게 해야 할까요?,보험 서류,14
142,143,보험사 입장에서는 보험금 지급에 대한 의구심을 가질 수 있을텐데 가입자 입장에서 피해보는 경우는 없을까요?,보험 가입,0
143,144,보험사고가 접수되면 보험사고에 따른 보험금 청구절차는 어떻게 되나요? ,보험금,3
147,148,보험사고가 구체적으로 무엇이고 어떤 기준을 적용하는건가요? 약관이 중요한가요?,특별 약관,5
154,155,이렇게 억울한 경우에 보상처리 받는 방법이 없나요?,보험 보장,7
155,156,과실상계 처리가 많은 운전자는 지급보상이 적어진다는말씀인가요?,보험 보장,7
156,157,이런 경우는 가해자 보험사에서 지급보상 해주는거 아니예요?,보험 보장,7
157,158,사고건이 있어서 보험료 청구하려고 합니다,보험 청구,8
160,161,청구서류는 어떤것이 필요한가요?,보험 청구,8
161,162,청구 하면 입금하는데까지 어느정도 걸리나요?,보험금,3
164,165,상해보험은 사망시 보험금 청구가 가능한가요?,보험금,3
165,166,우울증으로 인한 극단적 선택시 보험금 청구가 가능한가요?,보험금,3
166,167,제가 티눈을 제거했어요. 근데 보험금이 나왔는데 궁금한게 생겨서요,보험금,3
167,168,아니 티눈제거술을 받으면 보험금이 안나온다고 했었거든요 그전에?,보험금,3
169,170,말나온김에 피부과 진료 보상 궁금한 것도 있었는데요 물어봐도 되나요?,보험금,3
170,171,저희 아이가 사춘기라 그런지 여드름이 심해요 피부과진료하면 실비에서는 보상이 되는거죠?,보험 보장,7
173,174,몇해전에 병원갔다온거 보험금 받았는지 확인하고 싶은데요?,보험금,3
181,182,그럼 설치하고 보험금청구에 가고 그다음에는요?,보험금,3
182,183,휴대폰 보험청구를 어플로 할 수 있나요?,보험 청구,8
183,184,보험청구하려면 뭐가 필요하죠?,보험 청구,8
185,186,어플로 청구하는 방법은 어떻게 되요?,보험 청구,8
189,190,아까 수리비 영주증이라 내역서 필요하다고...... 그건 어떻게 해야되는데요?,보험 내용,10
191,192,청구하고 보험금은 언제 받을 수 있어요?,보험금,3
192,193,치아치료 받고 보험금을 받았는데 금액이 너무 적어서요.,보험금,3
194,195,계약 후 6개월이 지나야 다 보장 받을 수 있는 조항 말인가요?,보험 보장,7
195,196,제 치아가 많이 안 좋은데 보험금을 잘 타려면 일년은 꼭 참아야 하네요?,보험금,3
196,197,보험금 청구를 하려고합니다.,보험금,3
200,201,처리기간은 얼마나 걸리나요.,보험 기간,6
201,202,보험금은 어디로 받을 수 있나요.,보험금,3
202,203,보험 청구를 처음해보려고 해서요. ,보험 청구,8
209,210,보험 청구 하고싶습니다.,보험 청구,8
210,211,보험금 청구 페이지는 어디 있어요?,보험금,3
214,215,제 계좌로 입금되나요?,보험금,3
215,216,보험 청구를 안해봐서 그런데 좀 도와주시겠어요?,보험 청구,8
222,223,"반려동물 보험에 가입했었는데, 중성화수술비용도 청구가 되나요?",보험 가입,0
223,224,청구 방법이 어떻게 되나요?,보험 청구,8
224,225,가입확인을 어떻게 해요?,보험 가입,0
225,226,보험금 청구에 필요한 서류는 뭐가 있나요?,보험금,3
226,227,펫퍼민트 전용 보험금 청구서는 어디서 얻나요?,보험금,3
227,228,보험금 보상 문의드려요?,보험금,3
231,232,그럼 가입했던 계좌로 들어오나요?,보험 가입,0
233,234,여행자보험에서 청구 가능할까요?,보험 청구,8
234,235,네 맞습니다 필요한 서류좀 알려주세요,보험 서류,14
235,236,출입국확인서류가 꼭 필요한가요? 비행기티켓은요?,보험 서류,14
236,237,보험금 청구서는 뭐예요?,보험금,3
237,238,그럼 서류 챙겨서 어디로 보내면 되죠?,보험 서류,14
239,240,여행자보험 청구 가능할까요?,보험 청구,8
242,243,그리고 다른 서류들은 뭘 준비해야할까요?,보험 서류,14
243,244,병원가서 보험청구할꺼라구 하면 서류 알아서 주겠죠?,보험 청구,8
246,247,수고하십니다 제자 보험금을 청구하려고 하는데 어떻게 하죠?,보험금,3
247,248,제가 지금 인터넷이 안되서 전화드렸어요?,보험금,3
248,249,그럼 골절로 보험청구가 되는건가요?,보험 청구,8
249,250,필요한 서류가 뭐가있나요?,보험 서류,14
251,252,혹시 제가 프린트를 해야할 서류가 있나요?,보험 서류,14
252,253,그 서류를 팩스로 받아볼수 있을까요?,보험 서류,14
254,255,수고하십니다 제가 여행자 보험 청구를 하려고 하는데요,보험 청구,8
255,256, 휴대폰사용하다 액정이 깨졌는데 그것도 보험청구가 되나요?,보험 청구,8
256,257,필요한 서류가 뭐가 있나요?,보험 서류,14
258,259,서류준비되면 어떻게 보내드리면 될까요?,보험 서류,14
260,261,제가 해외여행가서 팔을 다쳤었는데 보험 청구 되나요?,보험 청구,8
261,262,그럼 보험청구는 제가 해야하나요?,보험 청구,8
262,263,혹시 필요한 서류가 뭔지 문자로 보내주실수 있나요?,보험 서류,14
263,264,그런데 보험금 청구양식은 뭐예요?,보험금,3
266,267,청구하면 보험료는 제 통장으로 입금되는건가요?,보험금,3
267,268,제가 청구하고 얼마나 있나 입금되는건가요?,보험금,3
268,269,"수고하십니다, 제가 여행자보험 청구를 하려고 하는데요",보험 청구,8
269,270,네 혹시 여행자보험 청구는 언제가지 가능한가요?,보험 청구,8
272,273,혹시 서류준비되면 팩스로 보내드려두 되나요?,보험 서류,14
274,275,제가 발가락에 금이 갔는데 보험 청구 좀 하려는데요?,보험금,3
275,276,준비해야하는 서류가 뭐가 있나요?,보험 서류,14
276,277,죄송한데요 필요한 서류 저한테 문자로 보내주실수 있나요?,보험 서류,14
277,278,실금이면 골절에해당되나요?,보험금,3
278,279,그럼 서류 보내드리면 골절에 대한 진단금을 받는건가요?,보험금,3
281,282,그럼 서류는 팩스로 보내드려두 될까요?,보험 서류,14
283,284,수고하십니다 제가 골절 사고 있어서 진료비 좀 청구하려는데요?,보험 청구,8
285,286,그럼 필요한 서류를 제 핸드폰으로 보내주세요,보험 서류,14
286,287,서류는 어떻게 보내드리면 될까요?,보험 서류,14
288,289,보험금 청구하고 보험금입금은 언제쯤 되나요?,보험금,3
289,290,안녕하세요 제가 몇달전에 무릎을 다쳐서 보험청구를 하려고 하는데요,보험 청구,8
292,293,우선 필요한 서류가 뭔지 알려주세요?,보험 서류,14
294,295,가입된 상해보험에서 청구받을수 있을까요?,보험 가입,0
296,297,무슨 서류가 필요한가요?,보험 서류,14
297,298,서류준비되면 어디로 보내드리면 되는거죠?,보험 서류,14
298,299,안녕하세요 제가 수술을 해야하는데요 보험에 관련해서 몇가지 궁금한게 있어서요?,보험금,3
300,301,그럼 중복으로 보장을 받을 수 있다는거죠?,보험 보장,7
302,303,안녕하세요. 제가 주방에서 칼에 베였는데 보험청구 가능할까요?,보험 청구,8
303,304,그럼 상해로 보험청구가 가능한거죠?,보험 청구,8
306,307,아 그래요 치아파절이란 말이 있어야 보상 받는거예요?,보험 보장,7
308,309,안녕하세요 상해보험중 골절보상금에 대해 문의좀 드릴께요?,보험금,3
309,310,보상을 어떻게 해주는거죠?,보험 보장,7
310,311,그럼 발가락 몇 개가 다쳤어도 하나 다친걸로 보상이 된다구요?,보험 보장,7
312,313,한발가락에 장애가 생기고 다른 발가락에 장애가 발생하면 각각 계산되어 보험 지급이 더해서 나온다느 거죠?,보험 수령,12
320,321,합의금은 무엇을 기준으로 정하는건가요?,보험금,3
321,322,상해보험 청구 기간에 대해 궁금해서 전화드렸어요?,보험금,3
327,328,선천성 질환은 상해보험청구 가능한가요?,보험 청구,8
328,329,상해보험 가입당시 보험사에 사전에 고지가 되어 있나요?,보험 가입,0
329,330,저희 아이가 수영장가서에서 상대아이으 잘못으로 눈두덩이가 찢어졌었는데요 보험 서류에 대해 뭣좀 여쭤볼려구요?,보험 서류,14
330,331,상대방 아이 보험에서 보상처리를 하는거죠?,보험 보장,7
331,332,그럼 이 비용도 상대 아이 엄마한테 청구해도 되나요?,보험 청구,8
332,333,혹시 보험사에서는 서류비용 지급은 안되나요?,보험 수령,12
333,334,그리고 저희 아이 실손보험에 청구 가능한가요?,보험 청구,8
336,337,그럼 필요한 서류가 뭐가있나요?,보험 서류,14
337,338,안녕하세요 혹시 맞아서 다친것두 상해보험 청구 가능한가요?,보험 청구,8
338,339,어떤 서류가 필요하죠?,보험 서류,14
341,342,보험금 청구하면 얼마있다 보험금이 지급되나요?,보험금,3
342,343,수고하십니다 태아보험에서  애기 손에 화상도 청구 되나요?,보험 청구,8
344,345,그럼 경미한 경우은 보험청구가 안되나요?,보험 청구,8
345,346,보험금 청구는 어떻게 하나요?,보험금,3
346,347,어디에 청구하면 되나요?,보험 청구,8
348,349,그럼 청구하고 얼마있나 보험금 지급이 되나요?,보험금,3
349,350,아이가 허벅지가 화상을 입었는데요 보험청구좀 하려구 해요?,보험 청구,8
350,351,어떻게 청구하면 되나요?,보험 청구,8
351,352,청구할때 다른 서류는 필요없나요?,보험 청구,8
354,355,솔직히 누가 보험 약관을 그렇게 자세히 봅니까?,특별 약관,5
356,357,보험청구는 어떻게 하면 되죠?,보험 청구,8
357,358,서류가 너무 간단한데요 제가 따로 준비할 서류는 없는거죠?,보험 서류,14
358,359,모바일로 청구하면 서류는 어떻게 해요?,보험 청구,8
359,360,청구하면 보험금이 언제 지급되나요?,보험금,3
360,361,종아리에 화상을 입어서 치료를 했는데 보험비 청구 좀 하려고 하는데요?,보험 청구,8
361,362,혹시 보험청구가 가능할까요?,보험 청구,8
363,364,어떻게 청구하면 되나요?,보험 청구,8
365,366,그럼 문자로 팩스 번호랑 필요한 서류랑 좀 보내주실수 있나요?,보험 서류,14
366,367,보험금 청구절차 알려주세요,보험금,3
367,368,보험금 청구 페이지가 어디에 있나요?,보험금,3
372,373,보험 청구 하려고요. ,보험 청구,8
373,374,보험금 청구 페이지가 어디에 있나요?,보험금,3
378,379,보험금 청구 하려고합니다. ,보험금,3
382,383,보험 청구 하려고요. ,보험 청구,8
383,384,보험금 청구 페이지가 어디에 있나요?,보험금,3
388,389,보험청구 할려고 하는데요?,보험 청구,8
390,391,실비청구시에 이렇게 세가지면 되는건가요?,보험 청구,8
393,394,진단비 청구할때는 어떤 서류를 내야하나요?,보험 청구,8
396,397,암의경우 진단명과 지급의 조건을 결정하는것은 무엇인가요?,보험 수령,12
397,398,경계성암과 일반암의 지급이 다른가요?,보험 수령,12
398,399,2009년 가입한고객의 보험청구사례가 궁금한대요?,보험 가입,0
400,401,연세가 좀 있으신 분이라 서류뗴는게 힘드실것 간은데요,보험 서류,14
402,403,실비를 청구할때는 통원한도가 있다는거네요?,보험 청구,8
404,405,보내드린 서류를 청구하면 어떨절차로 진행되나요?,보험 청구,8
407,408,"보장의 목적은 잘받기 위한것인데 어렵고 힘들면 포기할것 같아요,",보험 보장,7
408,409,"그동안 몰랐는데, 핸드폰에서 보험 청구 할 수 있는 방법이 있다더라구요.",보험 청구,8
409,410,어떻게 청구하는지 가르쳐주시겠어요?,보험 청구,8
412,413,"제가 '밥퍼' 봉사활동에서 화상을 입었는데, 보상을 받을 수 있는가요?",보험 보장,7
413,414,"네, 좀 많이 다쳤는데, 보상 받을 수 있나요?",보험 보장,7
414,415,얼마나 보상받을 수 있을까요?,보험 보장,7
415,416,청구는 어디로 하면되죠?,보험 청구,8
420,421,통원시 의원급 외래 비용이 급여의 자기부담금 30000원이고 비급여 부분 50000원이 나왔을 경우 총 80000원이면 실비보장금액은 얼마인가요?,보험금,3
421,422,실손의료보험에서 자기부담금은 어떻게 외래진료와 처방조제 비율이 다른가요?,보험금,3
422,423,그럼 처방조제비의 자기부담금은 어떻게 되나요?,보험금,3
423,424,통원시 의원급 외래 비용이 급여의 자기부담금 30000원이고 비급여 부분 50000원이 나왔을 경우 총 80000원이면 자기부담금은 어떻게 되나요?,보험금,3
424,425,"통원시 병원급 외래 비용이 급여의 자기부담금 10000원, 비급여 부분이 40000원이 나왔을 경우 총 50000원이 병원비로 지출되었다면 보장금액은 얼마인가요?",보험금,3
426,427,처방조제비 비용이 비급여 부분이 30000원이 나왔을 경우 보장금액은 어떻게 될까요?,보험금,3
427,428,자기부담금은 얼마나 될까요?,보험금,3
429,430,본인이 사용한 병실이 20만원이고 기준병실이 5만원일 경우 병실보장은 어떻게 되나요?,보험 보장,7
430,431,실비에서 상급병실료 경우 보상금액이 1일 평균금액이 10만원이 넘을 경우는 어떻게 적용되나요?,보험금,3
431,432,아까 질문에서 사망보험금은 전혀 염두해 두고 있지 않는 소비자가 실비보험인줄 알고 사망보험을 가입하는 불상사가 생기는 경우는 어떻게 해야 하나요?,보험 가입,0
432,433,이제는 종신보험을 기존에 가입한 경우가 아니라면 더 이상 나오지 않겠네요?,보험 가입,0
433,434,실비의 보장내용에서 급여 본인부담금 90%와 비급여 80%의 합계액이라고 했는데 최대 얼마를 보장해준다는 건가요?,보험금,3
434,435,공제된 본인부담금의 나머지 10%와 비급여의 나머지 20%를 합한 금액이 적으면 몰라도 큰 금액이면 보상되나요? 아님 공제되는 금액인가요?,보험금,3
435,436,만일 보험내용 중에 선택특약의 비용은 보상이 어떻게 되나요?,보험 보장,7
436,437,"병원에서 받은 도수치료, 체외충격파치료, 증식치료는 보장이 됩니까?",보험 보장,7
437,438,실비의 보장내용에서 도수치료는 무엇을 말하나요?,보험 보장,7
438,439,실비의 보장내용에서 체외충격파치료는 무엇인가요?,보험 보장,7
439,440,실비의 보장내용에서 증식치료는 무엇인가요?,보험 보장,7
440,441,"실비의 보장내용에서 비급여 도수치료, 체외충격파치료, 증식치료는 얼마나 보상되나요?",보험 보장,7
441,442,"실비의 보장내용에서 비급여 도수치료, 체외충격파치료, 증식치료에서 공제금액은 무엇을 말하나요?",보험금,3
442,443,병원에서 주사를 맞았는데 비급여 주사였다면 실비의 보장내용에서 비급여 주사는 보장이 어떻게 될까요?,보험 보장,7
443,444,그런데 실비의 보장내용에서 주사료는 어떻게 정의하나요?,보험 보장,7
444,445,실비의 보장내용에서 항암제는 무엇인가요?,보험 보장,7
445,446,실비의 보장내용에서 항생제는 무엇인가요?,보험 보장,7
446,447,실비의 보장내용에서 희귀의약품은 무엇인가요?,보험 보장,7
447,448,비급여 주사료는 얼마까지 보장되나요?,보험 보장,7
448,449,비급여 자기공명영상진단을 받은 경우는 보상이 되나요?,보험 보장,7
449,450,실비의 보장내용에서 자기공명영상진단은 무엇입니까?,보험 보장,7
450,451,만일 자기공명영상진단 결과를 다른 의료기관에서 판독하는 경우 실손보상이 되나요?,보험 보장,7
451,452,비급여 자기공명영상진단(MRI/MRA) 실손의료비 보장특약에서 보장금액은 어떻게 되나요?,보험금,3
452,453,그럼 자기공명영상진단을 받기 위해 먹는 조영제도 보장되나요?,보험 보장,7
453,454,그럼 실손보장이 안되는 경우를 알고 싶은데요? 피보험자가 고의로 자신을 해친 경우 정도는 아는데 제왕절개는 어떻게 되나요?,보험 보장,7
454,455,제왕절개는 안되는군요? 한가지 알았네요. 그럼 의사가 통원치료를 하라고 해도 우기고 입원을 하는 경우는 보장이 어떻게 되나요?,보험 보장,7
455,456,그럼 선박업에 종사하고 선박을 타고 일하는 경우는 보장이 어떻게 되나요?,보험 보장,7
456,457,치과치료나 한방치료는 보장이 되나요?,보험 보장,7
457,458,안면부 골절로 발생한 치과의료비도 보장 안되나요?,보험 보장,7
459,460,건강검진이나 예방접종 경우는 실손보상이 안되나요? ,보험 보장,7
461,462,"영양제, 비타민제, 호르몬 투여, 보신용 투약의 경우는 얼마까지 보상되나요?",보험 보장,7
464,465,보장범위와 보장한도는 어떻게 되나요?,보험 보장,7
465,466,말씀처럼 유병력자 실손의료보험이 결정적으로 투약 여부를 확인하지 않는다면 좋은 수정내용이네요?,보험 내용,10
466,467,약에 대한 부분이 보장되었으니 좋은데 처방전을 받기 위한 진료비는 보장이 어떻게 되나요?,보험 보장,7
467,468,유병력자 실손의료보험에 가입 안되는 경우는 어떤 경우인가요?,보험 가입,0
468,469,유병력자 실손의료보험에서 자기부담금은 기존 실손보험에 비해 보장내용이 어떻게 달라졌나요?,보험금,3
470,471,유병력자 실손의료보험의 보험 갱신주기는 어떻게 되며 상품구조 변경은 언제 변경되나요?,보험 내용,10
471,472,유병력자 실손의료보험의 가입방법은 어떻게 되나요?,보험 가입,0
474,475,위에서 실손의료보험 상품을 끼워파는 것을 금지했다고 하셨지요?,보험금,3
475,476,그럼 여행상품에 들어 있는 실손보험은 어떻게 되는 건가요?,보험 내용,10
476,477,유병력자 실손의료보험에서 경미한 치료 이력이 있는 경우는 일반실손보험에 가입해야 할까요 아님 유병력자 실손에 가입해야 할까요?,보험 가입,0
478,479,그럼 유병력자 실손보험은 일반실손 보험에 가입할 수 없는 소비자를 위한 상품이네요?,보험 가입,0
479,480,고혈압 약을 지속적으로 병원에서 처방받고 있는 경우는 유병력자 실손보험에 가입이 가능할까요?,보험 가입,0
480,481,그럼 고혈압 처방을 위해 병원을 내원하는 경우는 유병력자 실손보험의 가입심사 대상인가요? ,보험 가입,0
481,482,최근 암관련 진단을 받은 경우는 유병력자 실손보험 가입이 될까요?,보험 가입,0
483,484,건강한 편인데 보험설계사 권유로 유병력자 실손보험에 가입했습니다. 어떻해야 하나요?,보험 가입,0
484,485,일반실손 보험과 유병력자 실손보험에 대한 가입때 조치가 있나요?,보험 가입,0
485,486,그럼 이제는 소비자가 어떤 보험에 가입할 것인지를 선택해야 하겠네요?,보험 가입,0
486,487,일반실손과 유병력자 실손의 보장범위는 어떻게 되나요?,보험 보장,7
487,488,그래도 일반실손과 유병력자 실손의 보장범위가 다른 부분이 있지 않나요?,보험 보장,7
488,489,일반실손과 유병력자 실손의 보장범위 중 자기부담률은 동일한가요?,보험 보장,7
489,490,그럼 유병력자 실손도 계약전 알릴 의무사항 질문표를 작성해야 하나요?,보험 계약,13
490,491,유병력자 실손보험은 가입을 완화하는 방안으로 출시된 보험 아닌가요?,보험 가입,0
491,492,그럼 유병력자 실손보험에 가입하려면 질문표를 작성해야 한다는 것이네요?,보험 가입,0
492,493,대한민국 모든 보험회사의 유병력자 실손보험에 가입할 수 있나요?,보험 가입,0
493,494,실손보험이 단독상품으로 판매되면 진단비 등 다른 보험상품과 함께 가입이 어려운거 아닌가요?,보험 가입,0
494,495,실손상품이 단독상품으로 판매되어 소비자가 다른 보험상품 가입을 원하면 어떻게 해야 하나요?,보험 가입,0
497,498,새로 가입 할 수 없는 담보라면 기존 가입자라면 유지하는 것이 좋을까요?,보험 가입,0
498,499,일반상해의료비 담보를 설명해주세요. 우선 기간은 어떻게 되어 있나요?,보험 기간,6
499,500,일반상해의료비 담보 내용을 설명해주세요.,보험 내용,10
504,505,그럼 자기부담금이 없다는 것은 무슨 말인가요?,보험금,3
505,506,일반적인 상해통원의료비 실비 같은경우 예전에 가입했을 경우 일지라도 최소 자기부담금이 5천원이 있지않았나요?,보험 가입,0
506,507,"일반상해의료비의 장점과 단점 중 산재보험 보상사고, 자동차보험 보상사고도 50%가 보상이 된다는 부분 설명을 부탁합니다.",보험 보장,7
507,508,상해입원 및 통원의료비에서는 본인부담분이 있는 경우가 아니면 보상받지 못하는 거 아닌가요?,보험 보장,7
508,509,"일반상해의료비는 한방병원, 한의원, 한방치료가 보상이 된다는 부분 설명해주세요.",보험 보장,7
509,510,일반실손은 한의원 치료는 보장이 잘 안되는 부분이었는데 일반상해의료비는 되네요?,보험 보장,7
510,511,일반상해의료비의 입/통원 구분없이 가입한도가 적용이 된다는 것은 무슨 말인가요?,보험 가입,0
512,513,일반상해의료비의 최대 1천만원 보장은 너무 좋은 거 아닌가요?,보험 보장,7
513,514,"일반상해의료비의 의족, 보조기 등 진료재료 구입 및 대체비용, 상해로 인한 치과 보철치료비를 보상한다는 것은 무슨 말인가요?",보험 보장,7
514,515,"상해입원, 통원실손의료비에서는 보조기나 진료재료를 구입해야 되는 경우 보장이 안되는 것으로 알고 있는데요?",보험 보장,7
515,516,일반상해의료비에서 본인이 원하여 상급병실 이용시에는 상급병실료 차액을 보상하지 않는다는 것은 무슨 내용인가요?,보험 보장,7
516,517,일반상해의료비에서 보장기간이 180일이라는 것은 어떻게 해석하면 될까요?,보험 기간,6
517,518,보장기간이 1사고당 180일로 짧은것이 불만사항이기는 한데요. 상해입원비 지급은 보통 면책기간 이후에 보상을 해주지 않나요?,보험 기간,6
521,522,다른 보험에서 보상이되는 부분까지 중복보상이 되는 거죠?,보험 보장,7
522,523,실비를 가입하면 제일 복잡하고 머리 아픈게 실손의료비 면책기간과 보장기간에 대한 내용입니다. 정리를 좀 해주세요.,보험 가입,0
523,524,도대체 실비의 면책기간이 뭔가요?,보험 기간,6
524,525,면책기간은 어떻게 정해져 있나요?,보험 기간,6
525,526,실비 가입시기에 따라 면책기간이 달라진다구요?,보험 가입,0
526,527,2009년도 8월 이전 상품에서 일반상해의료비의 보장은 어떤가요?,보험 보장,7
527,528,2009년도 8월 이전 상품에서 상해의료비의 보장은 어땠나요?,보험 보장,7
528,529,2009년도 8월 이전 상품에서 질병입원의료비의 보장은 어땠나요?,보험 보장,7
529,530,질병입원의료비의 보장에서 하루 입원을 했어도 366일째 같은 이유로 다시 입원을 할 경우는 어떻게 보장 받나요?,보험 보장,7
530,531,2009년 8월 이후 보험상품은 어떤 특징이 있나요?,보험 내용,10
531,532,실비보험도 시기에 따른 보장내용의 변동이 있었네요?,보험 보장,7
532,533,"2014년 4월~2015년 12월 상품에서 상해입원의료비, 질병입원의료비 365일 보장후 90일 면책 이후 재보장한다고 했는데 동일 질병 동일 사고라고 하더라도 보장은 되어야 한다고 생각하는데 보장이 어떻게 되나요?",보험 보장,7
533,534,2016년 1월 이후 상품에서 일반상해의료비의 경우 달라진 보장은 무엇인가요?,보험 보장,7
535,536,보험을 살펴보면서 한번쯤은 예전에 가입한 보험이 더 좋다라는 이야기를 하게 됩니다. 그래서 이번에는 기간에 따라 달라지는 실비의 보장조건에 대한 조언을 구해봅니다.,보험 가입,0
536,537,2009년 10월 이전 손해보험사 실비의 보장조건에 대해 설명해주세요.,보험 보장,7
537,538,그럼 2009년 9월 손해보험사 실비에 가입한 가입자들은 보장이 어떻게 되나요?,보험 가입,0
538,539,2009년 10월 이전 생명보험사의 실비보험 보장내용중 변경된 것은 무엇인가요?,보험 보장,7
539,540,2009년 10월 평준화 이후 실비 보장내용은 어떻게 되나요?,보험 보장,7
540,541,2013년 4월 보험 1차개정 이후 실비보험의 보장내용은 어떻게 되었나요?,보험 보장,7
